profile,customer,account,transaction_ref_id,timestamp,city,transaction_type,transaction_category,amount_eur,balance
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-31391434-1,2022-01-01T10:49:29,Bilbao,transfer,Salary,211.47,375.78
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-68974660-3,2022-01-05T10:48:27,Bilbao,Basic services,electricity,-91.69,-745.3300000000002
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-8023065-2,2022-01-05T23:39:31,Bilbao,Housing,Rent,-1029.42,-653.6400000000001
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-43173994-6,2022-01-06T10:54:34,Bilbao,Basic services,internet,-65.85,-918.0300000000002
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-46166713-5,2022-01-06T11:06:02,Bilbao,Basic services,gas,-37.08,-852.1800000000002
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-82325609-4,2022-01-06T21:56:11,Bilbao,Basic services,electricity,-69.77,-815.1000000000001
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-4095274-8,2022-01-07T16:39:03,Bilbao,Basic services,internet,-66.08,-1005.9000000000002
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-19781995-7,2022-01-07T16:58:05,Bilbao,Basic services,electricity,-21.79,-939.8200000000002
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-62895589-9,2022-01-15T23:29:52,Bilbao,Expense,healthcare,-37.41,-1043.3100000000002
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-18906785-10,2022-01-20T00:37:39,Bilbao,Expense,food,-645.51,-1688.8200000000002
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-20709482-11,2022-01-28T14:54:37,Bilbao,Expense,gifts,-20.08,-1708.9
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-20296956-12,2022-02-01T17:25:00,Bilbao,transfer,Salary,211.47,-1497.43
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-82705671-13,2022-02-01T17:25:00,Bilbao,transfer,Extra Income,21.15,-1476.28
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-31877315-14,2022-02-05T20:03:35,Bilbao,Housing,Rent,-1029.42,-2505.7
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-6843067-16,2022-02-07T03:22:38,Bilbao,Basic services,internet,-43.93,-2593.7099999999996
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-56485056-15,2022-02-07T14:28:07,Bilbao,Basic services,gas,-44.08,-2549.7799999999997
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-45695804-17,2022-02-10T11:15:15,Bilbao,Expense,transport,-78.5,-2672.2099999999996
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-60057823-18,2022-02-10T11:40:41,Bilbao,Expense,gifts,-337.25,-3009.4599999999996
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-55987010-19,2022-02-12T10:48:13,Bilbao,Expense,clothing,-292.9,-3302.3599999999997
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-93173138-20,2022-02-17T10:06:52,Bilbao,Expense,transport,-48.49,-3350.8499999999995
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-26763390-21,2022-02-20T17:04:44,Bilbao,Expense,food,-780.63,-4131.48
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-91220581-22,2022-02-23T23:07:55,Bilbao,Expense,education,-336.63,-4468.11
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-26511759-23,2022-02-27T17:11:03,Bilbao,Expense,repairs,-535.17,-5003.28
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-81410870-24,2022-03-01T23:08:22,Bilbao,transfer,Salary,211.47,-4791.8099999999995
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-21514287-25,2022-03-03T10:57:48,Bilbao,Expense,leisure,-271.71,-5063.5199999999995
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-48354787-27,2022-03-05T14:14:57,Bilbao,Basic services,gas,-72.8,-6165.74
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-42097722-26,2022-03-05T16:03:36,Bilbao,Housing,Rent,-1029.42,-6092.94
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-50728534-28,2022-03-05T18:38:54,Bilbao,Basic services,internet,-64.07,-6229.8099999999995
Very Low income,Mamen Jara-Santiago,ES4236063369980838136789,TXN-48746632-29,2022-03-06T17:18:11,Bilbao,Basic services,water,-57.38,-6287.19
