dni,category,amount,timestamp
38296175W,salary,3066.82,2022-01-01T15:58:43
38296175W,cash,-100.0,2022-01-01T16:16:08
38296175W,repairs,-231.29,2022-01-02T13:02:25
38296175W,food,-98.84,2022-01-03T20:35:17
38296175W,clothing,-138.24,2022-01-03T20:08:52
38296175W,rent,-619.3,2022-01-04T17:24:43
38296175W,food,-80.02,2022-01-04T03:43:53
38296175W,phone,-41.12,2022-01-05T13:13:22
38296175W,repairs,-70.84,2022-01-05T13:17:26
38296175W,transport,-89.59,2022-01-06T20:49:30
38296175W,gifts,-295.29,2022-01-06T13:19:04
38296175W,transport,-47.1,2022-01-07T10:01:33
38296175W,gas,-33.64,2022-01-08T11:36:30
38296175W,internet,-42.0,2022-01-08T18:20:08
38296175W,water,-32.28,2022-01-08T08:02:19
38296175W,electricity,-32.12,2022-01-08T16:37:29
38296175W,transport,-60.41,2022-01-08T13:04:53
38296175W,food,-100.63,2022-01-10T13:31:57
38296175W,food,-85.71,2022-01-11T07:09:03
38296175W,leisure,-59.37,2022-01-11T10:40:54
38296175W,cash,-100.0,2022-01-11T11:24:43
38296175W,healthcare,-53.1,2022-01-12T12:18:29
38296175W,appliances,-204.83,2022-01-13T15:08:45
38296175W,clothing,-141.01,2022-01-14T09:18:52
38296175W,transport,-82.15,2022-01-15T17:50:01
38296175W,leisure,-73.44,2022-01-16T00:39:19
38296175W,healthcare,-156.84,2022-01-16T15:44:39
38296175W,food,-118.16,2022-01-19T09:28:48
38296175W,leisure,-78.82,2022-01-21T09:40:54
38296175W,repairs,-150.43,2022-01-22T22:24:50
38296175W,cash,-100.0,2022-01-24T11:03:03
38296175W,clothing,-59.56,2022-01-28T20:43:25
38296175W,education,-49.52,2022-01-28T13:52:58
38296175W,gifts,-332.6,2022-01-28T20:53:52
38296175W,food,-104.77,2022-01-30T15:36:00
38296175W,cash,-100.0,2022-01-30T12:49:39
38296175W,food,-90.6,2022-01-31T17:11:40
38296175W,salary,3066.82,2022-02-01T14:37:30
38296175W,transport,-84.23,2022-02-02T09:51:02
38296175W,education,-72.79,2022-02-02T14:56:48
38296175W,cash,-100.0,2022-02-02T09:40:58
38296175W,healthcare,-159.68,2022-02-03T16:45:36
38296175W,rent,-619.3,2022-02-04T11:13:49
38296175W,gas,-70.61,2022-02-05T23:58:53
38296175W,food,-117.51,2022-02-06T19:18:29
38296175W,water,-31.83,2022-02-07T15:25:11
38296175W,electricity,-21.58,2022-02-07T10:01:24
38296175W,internet,-42.0,2022-02-07T15:17:50
38296175W,phone,-31.11,2022-02-08T17:10:37
38296175W,food,-90.41,2022-02-08T11:05:52
38296175W,transport,-65.88,2022-02-09T16:26:39
38296175W,gifts,-312.83,2022-02-11T16:53:12
38296175W,leisure,-84.51,2022-02-12T15:14:57
38296175W,cash,-100.0,2022-02-12T20:09:34
38296175W,food,-68.7,2022-02-14T08:00:18
38296175W,repairs,-249.78,2022-02-14T08:10:47
38296175W,cash,-100.0,2022-02-18T10:30:51
38296175W,gifts,-35.84,2022-02-19T14:34:41
38296175W,gifts,-626.35,2022-02-20T13:45:00
38296175W,cash,-100.0,2022-02-22T08:09:30
38296175W,cash,-100.0,2022-02-24T18:29:50
38296175W,repairs,-42.43,2022-02-24T14:34:54
38296175W,cash,-100.0,2022-02-26T12:43:30
38296175W,food,-65.11,2022-02-28T17:56:43
38296175W,transport,-68.38,2022-02-28T08:04:09
38296175W,cash,-100.0,2022-02-28T10:16:32
38296175W,salary,3066.82,2022-03-01T11:51:05
38296175W,leisure,-72.08,2022-03-01T08:49:18
38296175W,cash,-100.0,2022-03-02T21:48:44
38296175W,transport,-79.43,2022-03-03T07:48:41
38296175W,rent,-619.3,2022-03-04T20:35:35
38296175W,leisure,-42.91,2022-03-04T15:40:58
38296175W,gas,-75.79,2022-03-05T15:03:41
38296175W,repairs,-290.46,2022-03-05T19:48:30
38296175W,internet,-42.0,2022-03-06T17:10:59
38296175W,phone,-35.46,2022-03-06T18:30:52
38296175W,transport,-53.18,2022-03-06T13:18:14
38296175W,leisure,-31.96,2022-03-06T15:14:41
38296175W,water,-36.06,2022-03-07T15:29:58
38296175W,electricity,-40.98,2022-03-08T10:08:44
38296175W,food,-91.78,2022-03-10T20:06:53
38296175W,leisure,-49.11,2022-03-10T08:14:36
38296175W,clothing,-92.3,2022-03-10T20:40:43
38296175W,education,-76.42,2022-03-10T11:56:03
38296175W,cash,-100.0,2022-03-10T12:21:10
38296175W,food,-86.73,2022-03-11T23:44:10
38296175W,food,-119.78,2022-03-12T11:13:49
38296175W,appliances,-238.0,2022-03-14T13:37:20
38296175W,repairs,-248.38,2022-03-14T14:33:29
38296175W,food,-80.65,2022-03-17T12:33:18
38296175W,food,-98.89,2022-03-19T18:42:16
38296175W,repairs,-178.5,2022-03-20T14:38:54
38296175W,leisure,-63.55,2022-03-21T16:10:13
38296175W,food,-105.07,2022-03-22T09:25:27
38296175W,food,-92.63,2022-03-23T11:31:44
38296175W,leisure,-80.79,2022-03-23T08:40:27
38296175W,gifts,-689.5,2022-03-24T15:00:36
38296175W,leisure,-33.57,2022-03-26T15:08:49
38296175W,cash,-100.0,2022-03-26T09:16:56
38296175W,transport,-43.99,2022-03-27T17:34:13
38296175W,salary,3066.82,2022-04-01T14:09:06
