cliente,cuenta,perfil,tipo_de_transacción,cantidad_eur,timestamp,ciudad,categoría_transacción,balance,ref_id_transacción
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-01-01 00:00:00,Cuenca,Nómina,14528.012862304313,TXN-47311978-1
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Alimentación,4062.0578675741817,2022-01-01 00:00:00,Cuenca,Ahorro e inversión,10465.954994730131,TXN-65705741-2
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Vivienda,362.2088918202798,2022-01-02 00:00:00,Cuenca,Salud,10103.746102909852,TXN-52405855-3
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Ahorro e inversión,5113.667073062176,2022-01-03 00:00:00,Cuenca,Alimentación,4990.079029847676,TXN-55242120-4
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Donaciones y caridad,1660.6982204327878,2022-01-04 00:00:00,Cuenca,Subscripciones,3329.380809414888,TXN-80129405-5
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Salud,3023.667933368949,2022-01-07 00:00:00,Cuenca,Salud,305.7128760459391,TXN-34333369-6
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-02-01 00:00:00,Cuenca,Nómina,3519.2344298388307,TXN-25143596-7
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Ahorro e inversión,1184.6993529412373,2022-02-03 00:00:00,Cuenca,Educación,2334.535076897593,TXN-88301205-8
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Tecnología,2191.823176070991,2022-02-06 00:00:00,Cuenca,Deudas y préstamos,142.71190082660223,TXN-43493372-9
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-03-01 00:00:00,Cuenca,Nómina,3356.233454619494,TXN-31140927-10
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Salud,1126.8686531995554,2022-03-01 00:00:00,Cuenca,Alimentación,2229.3648014199384,TXN-78360871-11
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Vivienda,923.0099415207417,2022-03-10 00:00:00,Cuenca,Ropa y accesorios,1306.3548598991968,TXN-27582634-12
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Servicios básicos,465.12078275470975,2022-03-28 00:00:00,Cuenca,Ahorro e inversión,841.234077144487,TXN-83473575-13
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-04-01 00:00:00,Cuenca,Nómina,4054.7556309373786,TXN-44698878-14
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Servicios básicos,1540.0347198717286,2022-04-01 00:00:00,Cuenca,Donaciones y caridad,2514.72091106565,TXN-50206218-15
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Ocio y entretenimiento,541.4785152596128,2022-04-03 00:00:00,Cuenca,Ahorro e inversión,1973.2423958060372,TXN-24616057-16
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Servicios básicos,1560.021408967182,2022-04-15 00:00:00,Cuenca,Vivienda,413.2209868388552,TXN-57709179-17
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-05-01 00:00:00,Cuenca,Nómina,3626.742540631747,TXN-74932679-18
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Servicios básicos,1964.1132553273794,2022-05-03 00:00:00,Cuenca,Alimentación,1662.6292853043676,TXN-54896065-19
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Transporte,1459.4300472414268,2022-05-08 00:00:00,Cuenca,Servicios básicos,203.19923806294082,TXN-98602234-20
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Vivienda,156.82222957549905,2022-05-28 00:00:00,Cuenca,Servicios básicos,46.37700848744177,TXN-47878726-21
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-06-01 00:00:00,Cuenca,Nómina,3259.8985622803334,TXN-8169510-22
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Servicios básicos,3176.3305476094774,2022-06-01 00:00:00,Cuenca,Deudas y préstamos,83.56801467085597,TXN-27452954-23
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-07-01 00:00:00,Cuenca,Nómina,3297.0895684637476,TXN-6016454-24
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Ahorro e inversión,593.5805850314548,2022-07-02 00:00:00,Cuenca,Ahorro e inversión,2703.5089834322926,TXN-45013312-25
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Servicios básicos,2230.8566096637455,2022-07-08 00:00:00,Cuenca,Educación,472.652373768547,TXN-14543706-26
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Educación,334.4058713204597,2022-07-23 00:00:00,Cuenca,Tecnología,138.2465024480873,TXN-13452405-27
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-08-01 00:00:00,Cuenca,Nómina,3351.7680562409787,TXN-24506562-28
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Subscripciones,266.129926910252,2022-08-01 00:00:00,Cuenca,Mascotas,3085.6381293307268,TXN-41507335-29
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Ocio y entretenimiento,1041.4961003629305,2022-08-03 00:00:00,Cuenca,Mascotas,2044.1420289677963,TXN-98285737-30
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Vivienda,2023.3936281398926,2022-08-05 00:00:00,Cuenca,Cuidado personal,20.74840082790365,TXN-95658626-31
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-09-01 00:00:00,Cuenca,Nómina,3234.269954620795,TXN-37279194-32
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Transporte,2375.1858906915254,2022-09-02 00:00:00,Cuenca,Alimentación,859.0840639292696,TXN-51363463-33
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Alimentación,539.9169249169365,2022-09-13 00:00:00,Cuenca,Alimentación,319.1671390123331,TXN-17077859-34
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-10-01 00:00:00,Cuenca,Nómina,3532.6886928052245,TXN-52851160-35
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Ahorro e inversión,1430.9209517649795,2022-10-03 00:00:00,Cuenca,Alimentación,2101.767741040245,TXN-48614202-36
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Servicios básicos,1863.8890538715914,2022-10-04 00:00:00,Cuenca,Ahorro e inversión,237.8786871686534,TXN-44797424-37
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Cuidado personal,112.36138673575937,2022-10-28 00:00:00,Cuenca,Deudas y préstamos,125.51730043289405,TXN-70797423-38
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-11-01 00:00:00,Cuenca,Nómina,3339.0388542257856,TXN-98689556-39
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Subscripciones,804.0008141101928,2022-11-02 00:00:00,Cuenca,Servicios básicos,2535.0380401155926,TXN-99765494-40
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Mascotas,1759.9613373274422,2022-11-06 00:00:00,Cuenca,Vivienda,775.0767027881504,TXN-89484754-41
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Donaciones y caridad,121.98020281256396,2022-11-22 00:00:00,Cuenca,Ropa y accesorios,653.0964999755865,TXN-96564552-42
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,transferencia,3213.5215537928916,2022-12-01 00:00:00,Cuenca,Nómina,3866.618053768478,TXN-52613783-43
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Ropa y accesorios,2308.0839596946435,2022-12-01 00:00:00,Cuenca,Vivienda,1558.5340940738347,TXN-6121871-44
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Cuidado personal,528.8732070952042,2022-12-12 00:00:00,Cuenca,Mascotas,1029.6608869786305,TXN-85224272-45
Ruperto Real Fuentes,ES7300563445773413388698,Altos ingresos,Ocio y entretenimiento,558.0362518567631,2022-12-23 00:00:00,Cuenca,Donaciones y caridad,471.6246351218674,TXN-65790360-46
