profile,customer,account,transaction_ref_id,timestamp,city,transaction_type,transaction_category,amount_eur,balance
High income,Nicanor Viña,ES1952821467629187278376,TXN-2980260-3,2022-01-01T17:44:17,Irun,Expense,Minor expenses,-5.87,101120.4
High income,Nicanor Viña,ES1952821467629187278376,TXN-61248718-1,2022-01-01T19:47:37,Bilbao,transfer,Salary,2838.01,98110.09999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-58735274-2,2022-01-01T19:47:37,Bilbao,transfer,Partner Salary,3016.17,101126.26999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-94744263-4,2022-01-02T11:44:08,Bilbao,Expense,Minor expenses,-8.78,101111.62
High income,Nicanor Viña,ES1952821467629187278376,TXN-6548754-5,2022-01-03T15:22:55,Bilbao,Expense,Minor expenses,-9.06,101102.56
High income,Nicanor Viña,ES1952821467629187278376,TXN-55960945-6,2022-01-04T13:10:54,Bilbao,Expense,Minor expenses,-7.46,101095.09999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-79937664-11,2022-01-05T03:24:23,Bilbao,Basic services,phone,-20.67,99613.63999999998
High income,Nicanor Viña,ES1952821467629187278376,TXN-21054199-8,2022-01-05T08:16:17,Bilbao,Basic services,water,-67.85,99835.98999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-33966368-10,2022-01-05T09:15:23,Bilbao,Basic services,internet,-76.52,99634.30999999998
High income,Nicanor Viña,ES1952821467629187278376,TXN-24986317-9,2022-01-05T09:23:41,Bilbao,Basic services,electricity,-125.16,99710.82999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-37323133-12,2022-01-05T18:37:26,Bilbao,Expense,Minor expenses,-3.92,99609.71999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-21941876-7,2022-01-05T20:50:07,Bilbao,Housing,Mortgage,-1191.26,99903.84
High income,Nicanor Viña,ES1952821467629187278376,TXN-7256077-13,2022-01-06T18:54:07,Bilbao,Basic services,electricity,-111.87,99497.84999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-63347693-14,2022-01-06T19:01:33,Durango,Expense,Minor expenses,-3.34,99494.51
High income,Nicanor Viña,ES1952821467629187278376,TXN-50825914-16,2022-01-07T08:35:28,Berango,Expense,Minor expenses,-9.47,99375.76
High income,Nicanor Viña,ES1952821467629187278376,TXN-53558290-15,2022-01-07T17:03:21,Bilbao,Basic services,electricity,-109.28,99385.23
High income,Nicanor Viña,ES1952821467629187278376,TXN-60773345-17,2022-01-08T10:42:12,Labastida/Bastida,Expense,transport,-72.78,99302.98
High income,Nicanor Viña,ES1952821467629187278376,TXN-79970699-18,2022-01-08T16:32:56,Bilbao,Expense,Minor expenses,-8.81,99294.17
High income,Nicanor Viña,ES1952821467629187278376,TXN-2802969-19,2022-01-09T18:46:35,Basauri,Expense,Minor expenses,-6.45,99287.72
High income,Nicanor Viña,ES1952821467629187278376,TXN-35096098-21,2022-01-10T01:32:44,Bilbao,Expense,Minor expenses,-9.91,99157.51
High income,Nicanor Viña,ES1952821467629187278376,TXN-69199099-20,2022-01-10T22:14:40,Bilbao,Expense,leisure,-120.3,99167.42
High income,Nicanor Viña,ES1952821467629187278376,TXN-34962963-22,2022-01-11T13:41:00,Bilbao,Expense,Minor expenses,-7.45,99150.06
High income,Nicanor Viña,ES1952821467629187278376,TXN-21918588-23,2022-01-12T14:19:14,Bilbao,Expense,Minor expenses,-8.99,99141.06999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-81000885-24,2022-01-13T09:16:53,Bilbao,Expense,Minor expenses,-8.76,99132.31
High income,Nicanor Viña,ES1952821467629187278376,TXN-18554715-25,2022-01-14T15:29:47,Bilbao,Expense,Minor expenses,-7.67,99124.64
High income,Nicanor Viña,ES1952821467629187278376,TXN-66286185-26,2022-01-16T15:20:35,Bilbao,Expense,Minor expenses,-4.05,99120.59
High income,Nicanor Viña,ES1952821467629187278376,TXN-89539488-27,2022-01-17T14:49:44,Andoain,Expense,Minor expenses,-9.74,99110.84999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-7016876-28,2022-01-19T19:31:44,Bilbao,Expense,Minor expenses,-5.38,99105.46999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-58832971-29,2022-01-20T13:25:29,Bilbao,Expense,Pet expenses,-110.75,98994.71999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-60542893-30,2022-01-20T15:16:16,Bilbao,Expense,Minor expenses,-6.2,98988.51999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-39230820-32,2022-01-21T16:19:59,Iruña de Oca,Expense,Minor expenses,-3.79,98515.31999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-42112915-31,2022-01-21T19:46:38,Bilbao,Expense,repairs,-469.41,98519.10999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-29434998-33,2022-01-22T20:22:14,Bilbao,Expense,Minor expenses,-4.28,98511.04
High income,Nicanor Viña,ES1952821467629187278376,TXN-81842138-34,2022-01-23T08:33:56,Bilbao,Expense,Minor expenses,-3.3,98507.73999999999
High income,Nicanor Viña,ES1952821467629187278376,TXN-37000265-35,2022-01-25T22:43:05,Bilbao,Expense,Minor expenses,-9.26,98498.48
High income,Nicanor Viña,ES1952821467629187278376,TXN-30099853-36,2022-01-28T11:55:31,Bilbao,Expense,Minor expenses,-7.27,98491.20999999999
