profile,name,age,iban,trx_id,timestamp,city,trx_type,trx_cat,amount_eur,balance
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00001-71592386,2022-01-01T22:10:26,Bilbao,incomes,salary,1265.98,1384.69
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00002-85251273,2022-01-01T14:02:54,Bilbao,Expense,transport,-245.05,1139.64
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00003-22208311,2022-01-01T19:53:37,Salvatierra/Agurain,Expense,leisure,-255.22,884.42
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00004-77207221,2022-01-01T20:43:22,Bilbao,Expense,clothing,-354.15,530.27
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00005-58902267,2022-01-02T20:25:52,Bilbao,Expense,transport,-459.47,70.8
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00006-72688694,2022-01-02T13:32:55,Bilbao,Expense,transport,-77.34,-6.54
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00007-41405965,2022-01-02T13:00:59,Labastida,Expense,personal_care,-70.49,-77.03
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00008-77407856,2022-01-03T13:53:50,Bilbao,Expense,healthcare,-37.58,-114.61
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00009-71852852,2022-01-03T21:07:23,Bilbao,Expense,car,-276.75,-391.36
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00010-36823624,2022-01-03T19:03:49,Bilbao,Expense,transport,-223.23,-614.59
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00011-03838704,2022-01-04T04:26:23,Bilbao,Housing,Rent,-1369.49,-1984.08
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00012-05521676,2022-01-04T03:27:13,Bilbao,Expense,car,-361.85,-2345.93
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00013-78374548,2022-01-04T12:05:13,Bilbao,Expense,technology,-162.41,-2508.34
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00014-92087017,2022-01-04T17:59:45,Vitoria-Gasteiz,Expense,food,-199.82,-2708.16
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00015-60471662,2022-01-05T11:35:04,Bilbao,basic_services,water,-40.14,-2748.3
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00016-10280781,2022-01-05T19:28:33,Bilbao,basic_services,electricity,-118.61,-2866.91
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00017-84727949,2022-01-05T18:27:05,Bilbao,basic_services,phone,-47.02,-2913.93
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00018-89248331,2022-01-05T20:36:29,Bilbao,Expense,savings,-280.33,-3194.26
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00019-20127034,2022-01-05T18:18:04,Bilbao,Expense,personal_care,-463.33,-3657.59
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00020-88630978,2022-01-05T12:16:59,Bilbao,Expense,technology,-175.99,-3833.58
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00021-57469189,2022-01-06T17:06:12,Bilbao,basic_services,internet,-72.55,-3906.13
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00022-90074654,2022-01-06T16:23:36,Bilbao,Expense,basic-services,-430.3,-4336.43
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00023-31044444,2022-01-06T08:10:19,Bilbao,Expense,basic-services,-231.46,-4567.89
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00024-99326255,2022-01-06T05:08:30,Sestao,Expense,transport,-98.92,-4666.81
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00025-67564378,2022-01-07T19:06:04,Bilbao,Expense,clothing,-446.01,-5112.82
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00026-29431301,2022-01-07T19:30:32,Bilbao,Expense,healthcare,-263.17,-5375.99
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00027-24442174,2022-01-07T19:24:16,Bilbao,Expense,clothing,-498.96,-5874.95
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00028-47633299,2022-01-08T05:24:50,Bilbao,basic_services,gas,-87.12,-5962.07
buyer_1,Luis,28,ES28209599118326557478,TRX_N-00029-80096937,2022-01-08T18:53:45,Bilbao,Expense,transport,-133.85,-6095.92
