profile,name,surname,birth_date,dni,email,password,city,iban,balance,category,amount,timestamp
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,salary,2225.76,2022-01-01T14:44:46
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,healthcare,-57.08,2022-01-01T09:08:51
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,transport,-47.78,2022-01-03T18:45:17
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,healthcare,-68.71,2022-01-03T20:15:11
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,rent,-719.15,2022-01-04T16:24:22
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,phone,-36.07,2022-01-05T20:52:23
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,food,-64.45,2022-01-05T09:32:56
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,leisure,-37.45,2022-01-05T11:31:47
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,appliances,-75.21,2022-01-05T23:55:15
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,water,-35.73,2022-01-06T13:33:34
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,clothing,-148.09,2022-01-06T08:51:29
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,electricity,-59.95,2022-01-08T14:31:18
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,gas,-97.55,2022-01-08T19:42:28
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,internet,-42.0,2022-01-08T20:21:26
buyer_1,Luis,,1996-08-10,96172264H,luis.@example.com,49922754,Bilbao,ES44209598441815575638,-59534.35000000002,repairs,-68.16,2022-01-08T11:20:28
